case:concept:name,concept:name,start:timestamp,time:timestamp,org:resource,Action,EventOrigin,case:LoanGoal,case:ApplicationType,case:RequestedAmount
Application_1000086665,START,2016-08-03 15:57:21.673000+00:00,2016-08-03 15:57:21.672000+00:00,SYSTEM,Created,Application,"Other, see explanation",New credit,5000.0
Application_1000086665,A_Create Application,2016-08-03 15:57:21.673000+00:00,2016-08-03 15:57:21.673000+00:00,User_1,Created,Application,"Other, see explanation",New credit,5000.0
Application_1000086665,A_Submitted,2016-08-03 15:57:21.673000+00:00,2016-08-03 15:57:21.734000+00:00,User_1,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000086665,A_Concept,2016-08-03 15:57:21.734000+00:00,2016-08-03 15:58:28.299000+00:00,User_1,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000086665,A_Accepted,2016-08-03 15:58:28.299000+00:00,2016-08-05 13:57:07.419000+00:00,User_5,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000086665,O_Create Offer,2016-08-05 13:57:07.419000+00:00,2016-08-05 13:59:57.320000+00:00,User_5,Created,Offer,"Other, see explanation",New credit,5000.0
Application_1000086665,O_Created,2016-08-05 13:59:57.320000+00:00,2016-08-05 13:59:58.162000+00:00,User_5,statechange,Offer,"Other, see explanation",New credit,5000.0
Application_1000086665,O_Sent (mail and online),2016-08-05 13:59:58.162000+00:00,2016-08-05 14:01:23.264000+00:00,User_5,statechange,Offer,"Other, see explanation",New credit,5000.0
Application_1000086665,A_Complete,2016-08-05 14:01:23.264000+00:00,2016-08-05 14:01:23.288000+00:00,User_5,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000086665,A_Cancelled,2016-08-05 14:01:23.288000+00:00,2016-09-05 06:00:36.710000+00:00,User_1,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000086665,O_Cancelled,2016-09-05 06:00:36.710000+00:00,2016-09-05 06:00:36.829000+00:00,User_1,statechange,Offer,"Other, see explanation",New credit,5000.0
Application_1000086665,END,2016-09-05 06:00:36.710000+00:00,2016-09-05 06:00:36.829000+00:00,SYSTEM,statechange,Offer,"Other, see explanation",New credit,5000.0
Application_1000334415,START,2016-09-15 16:39:17.758000+00:00,2016-09-15 16:39:17.757000+00:00,SYSTEM,Created,Application,"Other, see explanation",New credit,5000.0
Application_1000334415,A_Create Application,2016-09-15 16:39:17.758000+00:00,2016-09-15 16:39:17.758000+00:00,User_1,Created,Application,"Other, see explanation",New credit,5000.0
Application_1000334415,A_Submitted,2016-09-15 16:39:17.758000+00:00,2016-09-15 16:39:17.793000+00:00,User_1,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000334415,A_Concept,2016-09-15 16:39:17.793000+00:00,2016-09-15 16:39:41.610000+00:00,User_1,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000334415,A_Accepted,2016-09-15 16:39:41.610000+00:00,2016-09-16 11:31:41.123000+00:00,User_91,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000334415,O_Create Offer,2016-09-16 11:31:41.123000+00:00,2016-09-16 11:35:15.403000+00:00,User_91,Created,Offer,"Other, see explanation",New credit,5000.0
Application_1000334415,O_Created,2016-09-16 11:35:15.403000+00:00,2016-09-16 11:35:15.934000+00:00,User_91,statechange,Offer,"Other, see explanation",New credit,5000.0
Application_1000334415,O_Sent (mail and online),2016-09-16 11:35:15.934000+00:00,2016-09-16 11:36:11.620000+00:00,User_91,statechange,Offer,"Other, see explanation",New credit,5000.0
Application_1000334415,W_Complete application,2016-09-16 11:36:11.620000+00:00,2016-09-16 11:36:11.632000+00:00,User_91,Deleted,Workflow,"Other, see explanation",New credit,5000.0
Application_1000334415,A_Complete,2016-09-16 11:36:11.632000+00:00,2016-09-16 11:36:11.643000+00:00,User_91,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000334415,A_Validating,2016-09-16 11:36:11.643000+00:00,2016-09-21 14:06:51.007000+00:00,User_119,statechange,Application,"Other, see explanation",New credit,5000.0
Application_1000334415,O_Returned,2016-09-21 14:06:51.007000+00:00,2016-09-21 14:06:59.357000+00:00,User_119,statechange,Offer,"Other, see explanation",New credit,5000.0
