iter	Tweedie:variance_power=1.5
0	921.1100448
1	834.2965533
2	755.8318067
3	684.9287499
4	620.8325643
5	562.9906598
6	510.757968
7	463.6515724
8	421.1754964
9	382.9097213
10	348.4401081
11	317.3828402
12	289.4880206
13	264.4521041
14	242.058084
15	222.0891278
16	204.2918231
17	188.4178803
18	174.3837961
19	161.9343307
20	151.0037142
21	141.4509024
22	133.1049832
23	125.7885394
24	119.5192818
25	114.0932195
26	109.4509528
27	105.4736113
28	102.0820916
29	99.27876995
30	96.87973172
31	94.89590501
32	93.15822448
33	91.75883642
34	90.55492088
35	89.52843439
36	88.59856387
37	87.86974333
38	87.28491812
39	86.75995792
40	86.31963895
41	85.92710288
42	85.57326973
43	85.2646933
44	85.08239417
45	84.81461197
46	84.60971807
47	84.43765894
48	84.30810129
49	84.20635701
50	84.05028286
51	83.94525214
52	83.82799023
53	83.75459916
54	83.67791145
55	83.58350704
56	83.44391219
57	83.30049878
58	83.24388861
59	83.10074625
60	83.0405072
61	82.98842149
62	82.90702121
63	82.86660236
64	82.76404534
65	82.70571333
66	82.67773709
67	82.63964092
68	82.59938668
69	82.56201512
70	82.51367388
71	82.4792242
72	82.45166169
73	82.39224582
74	82.30987995
75	82.22889777
76	82.05217041
77	82.01431775
78	81.95835609
79	81.87156196
80	81.82717889
81	81.79694373
82	81.75273495
83	81.65310863
84	81.6292253
85	81.56628689
86	81.38745753
87	81.36879427
88	81.33904329
89	81.17486339
90	81.15136245
91	81.12785595
92	81.08748113
93	80.88476808
94	80.85408706
95	80.79984461
96	80.77269866
97	80.75297628
98	80.7175444
99	80.67859228
100	80.65353068
101	80.63622714
102	80.61143116
103	80.59409723
104	80.54672112
105	80.43337553
106	80.40719459
107	80.32695969
108	80.20946283
109	80.18637395
110	80.15348838
111	80.0002549
112	79.98283515
113	79.86603075
114	79.83129866
115	79.80803453
116	79.71354768
117	79.69764688
118	79.59533589
119	79.57133637
120	79.51823152
121	79.48561898
122	79.46318055
123	79.44789265
124	79.38359357
125	79.36510032
126	79.34195907
127	79.32740511
128	79.30436991
129	79.19680907
130	79.11371921
131	78.96190376
132	78.94266464
133	78.89690815
134	78.84448319
135	78.77763686
136	78.68080123
137	78.64601083
138	78.62490201
139	78.54495133
140	78.53092692
141	78.51092318
142	78.4684136
143	78.36859809
144	78.34895524
145	78.33595196
146	78.31611839
147	78.2813791
148	78.20023848
149	78.16900484
150	78.15236759
151	78.13921199
152	78.06079347
153	78.04277741
154	77.93937082
155	77.92729289
156	77.91143671
157	77.85675949
158	77.73878053
159	77.71283171
160	77.6940823
161	77.62281575
162	77.56563704
163	77.54822738
164	77.49967718
165	77.4630981
166	77.42970327
167	77.41269525
168	77.3256607
169	77.31396544
170	77.29907012
171	77.2877828
172	77.24160398
173	77.22569388
174	77.13927509
175	77.12477874
176	77.08249837
177	77.06596592
178	77.05561386
179	77.03949191
180	77.00768333
181	76.96948189
182	76.95492299
183	76.87975748
184	76.8689836
185	76.85413029
186	76.73581748
187	76.68613878
188	76.67587459
189	76.61574985
190	76.60329792
191	76.58655932
192	76.53791656
193	76.49150657
194	76.47698475
195	76.40019191
196	76.36272829
197	76.30853685
198	76.26090729
199	76.24609542
200	76.2278142
201	76.21463992
202	76.2052329
203	76.19597511
204	76.14168259
205	76.1278763
206	76.11585379
207	76.0753243
208	76.03550075
209	76.02326334
210	75.93402016
211	75.92530648
212	75.91241839
213	75.86398805
214	75.83595697
215	75.82350436
216	75.81049484
217	75.78878166
218	75.78013976
219	75.76791728
220	75.75944819
221	75.74814125
222	75.73959006
223	75.72772027
224	75.65787859
225	75.64768002
226	75.63996427
227	75.59875515
228	75.58030525
229	75.55326609
230	75.5191405
231	75.40641693
232	75.38069319
233	75.36958123
234	75.32231207
235	75.28780309
236	75.2798336
237	75.26508923
238	75.25373883
239	75.24269115
240	75.22250394
241	75.11751555
242	75.11017503
243	75.08260411
244	75.06903096
245	75.01519724
246	74.97312199
247	74.96343646
248	74.94847509
249	74.88834343
250	74.87809091
251	74.870079
252	74.86277458
253	74.81783839
254	74.80482108
255	74.78521818
256	74.77496207
257	74.72217147
258	74.70339995
259	74.67455774
260	74.66581528
261	74.6313395
262	74.5599305
263	74.55288689
264	74.50459989
265	74.49757056
266	74.48780416
267	74.48066603
268	74.44401155
269	74.42930416
270	74.37718535
271	74.36823945
272	74.35444469
273	74.34630791
274	74.33917248
275	74.33012973
276	74.27737946
277	74.24849077
278	74.22161966
279	74.21331364
280	74.20131661
281	74.19508566
282	74.17100434
283	74.16212396
284	74.15555224
285	74.14021327
286	74.10159027
287	74.09304655
288	74.07777734
289	74.06879375
290	74.062686
291	74.04143062
292	74.03335472
293	74.02721454
294	74.02115788
295	74.01509605
296	74.0064199
297	73.99963394
298	73.95390734
299	73.92734502
