iter	Passed	Remaining
0	6	1885
1	11	1765
2	17	1718
3	22	1701
4	28	1675
5	33	1661
6	39	1655
7	45	1646
8	50	1636
9	56	1629
10	61	1616
11	67	1610
12	72	1607
13	78	1598
14	83	1595
15	89	1590
16	95	1583
17	100	1578
18	106	1574
19	112	1568
20	117	1561
21	122	1554
22	128	1544
23	133	1538
24	139	1532
25	145	1529
26	150	1524
27	156	1518
28	161	1512
29	167	1506
30	173	1501
31	178	1495
32	184	1489
33	189	1482
34	195	1477
35	200	1471
36	206	1465
37	211	1458
38	216	1452
39	222	1446
40	227	1439
41	233	1432
42	238	1427
43	244	1420
44	249	1414
45	255	1408
46	260	1402
47	266	1397
48	271	1390
49	276	1384
50	282	1378
51	287	1371
52	292	1364
53	298	1357
54	303	1351
55	308	1344
56	313	1338
57	319	1333
58	324	1326
59	330	1321
60	335	1314
61	340	1308
62	346	1303
63	352	1298
64	357	1292
65	362	1286
66	368	1280
67	373	1274
68	378	1268
69	384	1262
70	389	1256
71	394	1250
72	400	1244
73	405	1238
74	411	1233
75	416	1227
76	421	1221
77	427	1216
78	432	1210
79	438	1204
80	443	1198
81	448	1192
82	453	1186
83	459	1180
84	464	1174
85	469	1168
86	475	1163
87	480	1157
88	485	1151
89	491	1146
90	496	1140
91	501	1134
92	506	1128
93	512	1123
94	517	1117
95	523	1112
96	528	1106
97	533	1100
98	539	1094
99	544	1089
100	550	1083
101	555	1077
102	560	1072
103	565	1066
104	571	1060
105	576	1055
106	582	1050
107	588	1046
108	594	1040
109	599	1035
110	604	1029
111	610	1024
112	615	1018
113	620	1013
114	626	1007
115	631	1001
116	637	996
117	642	990
118	647	985
119	652	979
120	658	974
121	663	968
122	669	963
123	674	957
124	679	951
125	685	946
126	690	940
127	695	934
128	700	929
129	706	924
130	712	918
131	717	913
132	722	907
133	728	902
134	733	896
135	739	891
136	744	886
137	750	880
138	755	874
139	760	869
140	766	864
141	773	860
142	781	857
143	787	852
144	792	847
145	797	841
146	803	835
147	808	830
148	814	825
149	819	819
150	824	813
151	830	808
152	835	802
153	840	797
154	846	792
155	852	786
156	857	781
157	863	775
158	868	770
159	874	764
160	879	759
161	886	754
162	891	749
163	896	743
164	902	738
165	907	732
166	913	727
167	918	721
168	924	716
169	929	710
170	934	705
171	940	699
172	945	694
173	951	688
174	956	683
175	962	677
176	967	672
177	972	666
178	978	661
179	983	655
180	988	650
181	994	644
182	999	639
183	1005	633
184	1010	628
185	1016	622
186	1021	617
187	1027	612
188	1032	606
189	1038	601
190	1043	595
191	1048	590
192	1054	584
193	1059	579
194	1065	573
195	1071	568
196	1077	563
197	1083	557
198	1089	553
199	1095	547
200	1100	541
201	1105	536
202	1110	530
203	1116	525
204	1121	519
205	1126	514
206	1132	508
207	1137	503
208	1143	497
209	1148	492
210	1154	487
211	1159	481
212	1165	475
213	1170	470
214	1176	464
215	1181	459
216	1186	453
217	1191	448
218	1197	442
219	1202	437
220	1207	431
221	1213	426
222	1218	420
223	1223	415
224	1229	409
225	1234	404
226	1240	398
227	1245	393
228	1250	387
229	1256	382
230	1261	376
231	1267	371
232	1272	365
233	1278	360
234	1283	355
235	1289	349
236	1294	344
237	1300	338
238	1305	333
239	1310	327
240	1316	322
241	1321	316
242	1327	311
243	1332	305
244	1338	300
245	1343	295
246	1349	289
247	1354	284
248	1360	278
249	1366	273
250	1372	267
251	1377	262
252	1383	256
253	1388	251
254	1394	246
255	1399	240
256	1405	235
257	1410	229
258	1416	224
259	1421	218
260	1426	213
261	1432	207
262	1437	202
263	1443	196
264	1448	191
265	1454	185
266	1459	180
267	1464	174
268	1470	169
269	1475	163
270	1481	158
271	1487	153
272	1493	147
273	1499	142
274	1505	136
275	1511	131
276	1518	126
277	1523	120
278	1529	115
279	1534	109
280	1540	104
281	1545	98
282	1550	93
283	1556	87
284	1561	82
285	1567	76
286	1572	71
287	1577	65
288	1583	60
289	1588	54
290	1593	49
291	1599	43
292	1605	38
293	1610	32
294	1616	27
295	1621	21
296	1627	16
297	1639	11
298	1647	5
299	1654	0
